,ID,0,1,2,3,4,5,6,7
1097,2439,Comedy,Drama,,,,,,
1102,2467,Drama,Sport,,,,,,
1109,2517,Adventure,Comedy,Family,Fantasy,Sci-Fi,,,
1116,2547,Horror,Sci-Fi,Thriller,,,,,
1121,2596,Drama,Romance,,,,,,
1124,2612,Drama,Sci-Fi,Thriller,,,,,
1126,2642,Drama,,,,,,,
1127,2643,Action,Crime,Drama,,,,,
1130,2661,Drama,Fantasy,Mystery,Romance,Thriller,,,
1133,2675,Action,Adventure,Comedy,Crime,Family,Mystery,,
1135,2685,Action,,,,,,,
1137,2691,Drama,Sport,,,,,,
1138,2698,Comedy,Drama,,,,,,
1139,2700,Comedy,,,,,,,
1140,2706,Crime,Drama,,,,,,
1145,2757,Comedy,,,,,,,
1147,2773,Drama,,,,,,,
1149,2808,Action,Adventure,History,,,,,
1153,2839,Action,Crime,,,,,,
1161,2914,Action,Adventure,Fantasy,,,,,
1162,2943,Comedy,Drama,Music,,,,,
1163,2949,Action,Sci-Fi,Thriller,,,,,
1165,2972,Comedy,Crime,Thriller,,,,,
1169,3007,Romance,Comedy,,,,,,
1170,3019,Drama,,,,,,,
1171,3023,Drama,,,,,,,
1187,3188,Comedy,,,,,,,
1191,3234,Horror,Thriller,,,,,,
1197,3325,Animation,Comedy,Family,Fantasy,Sport,,,
1199,3365,Action,Sci-Fi,Thriller,,,,,
1201,3377,Comedy,,,,,,,
1209,3561,Action,Crime,Drama,Thriller,,,,
1210,3563,Comedy,Drama,Thriller,,,,,
1211,3564,Drama,Romance,,,,,,
1213,3566,Action,Adventure,,,,,,
1215,3569,Adventure,Comedy,Fantasy,Sci-Fi,,,,
1216,3570,Drama,Horror,Sci-Fi,,,,,
1219,3576,Adventure,Comedy,Drama,,,,,
1223,3580,Horror,Mystery,Thriller,,,,,
1224,3581,Documentary,Adventure,Sport,,,,,
1225,3582,Comedy,Drama,,,,,,
1230,3588,Animation,Action,Adventure,Family,Fantasy,,,
1232,3590,Action,Adventure,Sci-Fi,,,,,
1233,3592,Comedy,,,,,,,
1234,3593,Mystery,Sci-Fi,Thriller,,,,,
1235,3595,Drama,Horror,Mystery,Sci-Fi,Thriller,,,
1236,3596,Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller,,
1237,3597,Comedy,Crime,,,,,,
1238,3598,Adventure,Horror,Thriller,,,,,
1240,3600,Biography,Comedy,Drama,Sport,,,,
1241,3601,Action,Adventure,Sci-Fi,,,,,
1242,3603,Comedy,Drama,,,,,,
1246,3608,Drama,Fantasy,Horror,Mystery,Thriller,,,
1247,3609,Documentary,Biography,Drama,History,Mystery,,,
1248,3610,Comedy,Crime,Drama,Mystery,Thriller,,,
1249,3612,Animation,Biography,Crime,Drama,Family,Mystery,,
1251,3614,Documentary,Drama,,,,,,
1253,3616,Animation,Adventure,Comedy,Family,Fantasy,,,
1254,3618,Action,Drama,History,Thriller,,,,
1255,3620,Animation,Action,Adventure,Fantasy,Thriller,,,
1257,3624,Adventure,Drama,,,,,,
1260,3628,Crime,Drama,Romance,Thriller,,,,
