ID,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
1449,0.981,0.354,0.0736,65.032,0.0455,0.862,0.09,-16.004,0.0395
1453,0.0658,0.354,0.172,111.575,0.0369,0.846,0.111,-19.819,0.0545
1456,0.535,0.354,0.44,116.034,0.066,0.885,0.151,-13.249,0.0367
1457,0.726,0.49,0.643,99.516,0.263,0.876,0.11,-16.669,0.0393
1459,0.758,0.177,0.378,120.871,0.0361,0.936,0.138,-11.89,0.039
1460,0.00169,0.809,0.714,130.011,0.514,0.136,0.0573,-9.555,0.0342
1461,0.927,0.107,0.0847,85.03,0.0618,0.866,0.0868,-23.121,0.0447
1471,0.793,0.23,0.368,161.237,0.026,0.918,0.112,-13.283,0.0472
1491,0.753,0.579,0.561,84.959,0.376,3.78E-05,0.116,-8.35,0.0501
1501,0.0555,0.121,0.277,80.007,0.0385,0.942,0.0922,-14.745,0.0318
1523,0.985,0.54,0.0667,71.044,0.237,0.000782,0.104,-18.721,0.031
1552,0.987,0.498,0.274,127.893,0.195,0.873,0.129,-16.536,0.0452
1600,0.0561,0.341,0.375,170.405,0.0405,0.868,0.0784,-16.764,0.0368
1607,0.971,0.0827,0.04,64.26,0.0393,0.966,0.0986,-25.749,0.0397
1624,0.771,0.112,0.302,88.976,0.0331,0.862,0.137,-12.67,0.034
1660,0.722,0.0757,0.0109,82.326,0.0362,0.874,0.0905,-31.222,0.0382
1668,0.173,0.545,0.786,160.011,0.325,0.761,0.108,-12.82,0.0373
1688,0.989,0.13,0.0483,179.505,0.0455,0.906,0.0774,-25.746,0.0339
1689,0.435,0.126,0.143,182.75,0.0332,0.881,0.436,-23.173,0.0372
1690,0.937,0.273,0.0451,76.943,0.156,0.718,0.108,-31.282,0.0323
1691,0.664,0.441,0.167,180.058,0.0392,0.911,0.0974,-24.091,0.036
1702,0.334,0.873,0.588,132.083,0.964,0.0363,0.0476,-6.559,0.134
1704,0.574,0.649,0.458,180.071,0.748,0,0.113,-7.632,0.0446
1709,0.99,0.177,0.0712,66.494,0.0338,0.949,0.09,-22.54,0.0455
1710,0.988,0.459,0.327,76.253,0.0396,0.856,0.0802,-11.721,0.0578
1717,0.108,0.783,0.889,111.983,0.851,3.06E-05,0.333,-2.691,0.0598
1723,0.85,0.785,0.117,130.056,0.896,0.0344,0.0785,-18.857,0.0651
1731,0.0324,0.56,0.924,150.053,0.188,0.781,0.191,-7.691,0.0624
1744,0.221,0.549,0.34,95,0.104,0.13,0.159,-14.974,0.0428
1752,0.00516,0.321,0.885,118.645,0.0796,0.628,0.115,-9.394,0.055
1766,0.971,0.235,0.09,99.225,0.0413,0.179,0.101,-22.885,0.0386
1790,0.983,0.543,0.0424,120.02,0.0473,0.942,0.106,-25.925,0.0391
