ID,title,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness,cluster,feature_list
3581,Free Solo,0.882529406,0.089415656,0.13311336,0.819146233,0.036896197,0.892570281,0.073671921,0.657768454,0.043196544,3,"[0.8825294057512038, 0.08941565600882029, 0.13311336001037852, 0.8191462327137305, 0.036896197327852015, 0.8925702811244981, 0.07367192060712201, 0.6577684535436108, 0.04319654427645788]"
3582,Captain Fantastic,0.987951734,0.15876516,0.191442159,0.330103637,0.03299075,0.504016064,0.072621133,0.757192119,0.042548596,3,"[0.9879517339232003, 0.1587651598676957, 0.1914421594528357, 0.33010363675847504, 0.032990750256937304, 0.5040160642570282, 0.0726211325160537, 0.7571921194145024, 0.042548596112311016]"
3588,How to Train Your Dragon: The Hidden World,0.997991956,0.485115766,0.007334344,0.615014624,0.130524152,0.906626506,0.036077058,0.335817116,0.060907127,3,"[0.9979919556538668, 0.4851157662624035, 0.007334343695411033, 0.6150146237334183, 0.13052415210688592, 0.9066265060240964, 0.036077057793344997, 0.3358171164002025, 0.06090712742980561]"
3590,Star Trek II: The Wrath of Khan,0.093669184,0.21168688,0.312122434,0.628945289,0.038643371,0.813253012,0.082895505,0.692083243,0.048812095,0,"[0.0936691843727483, 0.21168687982359424, 0.31212243416136765, 0.6289452892172491, 0.038643371017471735, 0.8132530120481929, 0.08289550496205486, 0.6920832429043382, 0.048812095032397404]"
3592,Booksmart,0.368470053,0.873208379,0.666117907,0.485129072,0.417266187,0.764056225,0.091652072,0.83997685,0.059611231,0,"[0.36847005314108655, 0.8732083792723263, 0.6661179066397281, 0.4851290723516719, 0.4172661870503597, 0.7640562248995983, 0.09165207238762403, 0.8399768501772408, 0.059611231101511876]"
3593,Super 8,0.965863246,0.176405733,0.122051001,0.644428427,0.037718397,0.81626506,0.431406888,0.646603487,0.048812095,3,"[0.9658632461157344, 0.17640573318632854, 0.12205100149542975, 0.6444284268744022, 0.03771839671120247, 0.8162650602409638, 0.4314068884997081, 0.6466034869420529, 0.048812095032397404]"
3595,Coherence,0.01425103,0.382579934,0.564545342,0.647542612,0.087564234,0.930722892,0.093987157,0.773372881,0.039092873,0,"[0.01425103048317744, 0.3825799338478501, 0.5645453420933805, 0.6475426121268407, 0.08756423432682425, 0.9307228915662652, 0.09398715703444248, 0.7733728809472136, 0.03909287257019439]"
3596,Annihilation,0.902609849,0.144432194,0.199487511,0.405698867,0.035560123,0.898594378,0.077057793,0.55144807,0.05637149,3,"[0.9026098492125364, 0.1444321940463065, 0.19948751110007112, 0.4056988666029045, 0.0355601233299075, 0.8985943775100402, 0.07705779334500876, 0.5514480696423834, 0.056371490280777536]"
3597,Heathers,0.726905969,0.590959206,0.453921757,0.472575302,0.355601233,0.752008032,0.388207823,0.662060817,0.029157667,0,"[0.7269059689258753, 0.5909592061742006, 0.4539217569438928, 0.4725753018310854, 0.35560123329907506, 0.7520080321285142, 0.3882078225335668, 0.6620608165135402, 0.029157667386609076]"
3598,The Descent,0.451803894,0.141124587,0.199487511,0.370250752,0.031551901,0.940763052,0.096322242,0.613735562,0.048488121,3,"[0.4518038935056172, 0.14112458654906282, 0.19948751110007112, 0.37025075197870894, 0.031551901336073995, 0.9407630522088356, 0.09632224168126094, 0.6137355615037738, 0.048488120950323975]"
3600,Fighting with My Family,0.800199588,0.55016538,0.063621635,0.646207301,0.036485098,0.862449799,0.098657326,0.463117027,0.035421166,3,"[0.8001995875597397, 0.5501653803748621, 0.06362163515738217, 0.6462073012396675, 0.03648509763617677, 0.8624497991967873, 0.0986573263280794, 0.4631170271769273, 0.035421166306695465]"
3601,Bumblebee,0.081922125,0.170893054,0.721429699,0.47388751,0.039362795,0.948795181,0.089316988,0.776049579,0.061555076,0,"[0.08192212494786867, 0.17089305402425575, 0.7214296992144721, 0.4738875104537747, 0.03936279547790339, 0.9487951807228916, 0.0893169877408056, 0.7760495792037425, 0.06155507559395248]"
3603,Instant Family,0.714857703,0.202866593,0.273907014,0.277929483,0.074614594,0.972891566,0.07530648,0.714702549,0.038012959,3,"[0.7148577028490757, 0.2028665931642778, 0.2739070138369992, 0.27792948264788914, 0.07461459403905447, 0.9728915662650602, 0.07530647985989491, 0.7147025488919433, 0.03801295896328294]"
3608,Let Me In,0.971887379,0.379272326,0.018265965,0.520050455,0.083350462,0.875502008,0.086981903,0.399575587,0.040280778,3,"[0.9718873791541344, 0.3792723263506063, 0.018265965246092225, 0.520050455345633, 0.08335046248715314, 0.8755020080321285, 0.08698190309398715, 0.3995755865827485, 0.04028077753779697]"
3609,Three Identical Strangers,0.986947712,0.128996692,0.13311336,0.354698308,0.035560123,0.967871486,0.046818447,0.542549857,0.043304536,3,"[0.9869477117501338, 0.12899669239250275, 0.13311336001037852, 0.3546983075281039, 0.0355601233299075, 0.9678714859437751, 0.046818447168709865, 0.5425498565193276, 0.04330453563714902]"
